Date,Open,High,Low,Close,Adj Close,Volume
2020-05-11,2.150000,2.170000,2.070000,2.090000,2.090000,21380800
2020-05-12,2.110000,2.160000,2.010000,2.020000,2.020000,24936300
2020-05-13,2.040000,2.050000,1.900000,1.940000,1.940000,38274200
2020-05-14,1.970000,2.050000,1.910000,2.040000,2.040000,31487400
2020-05-15,2.020000,2.080000,1.980000,2.020000,2.020000,31640900
2020-05-18,2.100000,2.190000,2.080000,2.130000,2.130000,42593200
2020-05-19,2.150000,2.160000,2.090000,2.090000,2.090000,32944600
2020-05-20,2.120000,2.180000,2.090000,2.170000,2.170000,30071600
2020-05-21,2.190000,2.230000,2.110000,2.130000,2.130000,37050400
2020-05-22,2.150000,2.180000,2.100000,2.140000,2.140000,15958500
2020-05-26,2.340000,2.400000,2.300000,2.350000,2.350000,42690200
2020-05-27,2.500000,2.590000,2.420000,2.590000,2.590000,50629800
2020-05-28,2.550000,2.550000,2.370000,2.380000,2.380000,47949000
2020-05-29,2.370000,2.390000,2.260000,2.310000,2.310000,60412000
